sample,r,q,instrument,n_obs,f_robust_mp,wald_mp,ar_bounded
pre_covid,7,7,z_jk_bs_purif,90,16.04069840330245,12.32446925769433,TRUE
pre_covid,8,2,z_bruto,90,2.3028380774402493,3.2441635837362983,FALSE
pre_covid,8,2,z_bs_purif,90,2.315130238013479,3.250347630253965,FALSE
pre_covid,8,2,z_jk_bs_purif,90,8.93196207147958,6.7786052688444745,TRUE
pre_covid,8,3,z_bruto,90,2.96264195381534,4.062005938397897,TRUE
pre_covid,8,3,z_bs_purif,90,2.866074100525596,3.9020194671900184,TRUE
pre_covid,8,3,z_jk_bs_purif,90,11.323382966777922,7.865118275169167,TRUE
pre_covid,8,4,z_bruto,90,8.836261579097048,10.353794242903815,TRUE
pre_covid,8,4,z_bs_purif,90,8.435066549021904,9.8582016506984,TRUE
pre_covid,8,4,z_jk_bs_purif,90,14.5850184092449,10.587103913864377,TRUE
pre_covid,8,5,z_bruto,90,11.512460481590157,12.996567613022762,TRUE
pre_covid,8,5,z_bs_purif,90,11.341003170224909,12.741774567096138,TRUE
pre_covid,8,5,z_jk_bs_purif,90,14.366959759689564,12.597430620956894,TRUE
pre_covid,8,6,z_bruto,90,11.891272344585559,12.146023439873566,TRUE
pre_covid,8,6,z_bs_purif,90,11.633143736555597,11.90348058395078,TRUE
pre_covid,8,6,z_jk_bs_purif,90,12.005501202673392,10.903807230169328,TRUE
pre_covid,8,7,z_bruto,90,14.997397740283025,13.74298385576441,TRUE
pre_covid,8,7,z_bs_purif,90,14.14670342139538,13.18362883118186,TRUE
pre_covid,8,7,z_jk_bs_purif,90,13.175149770390748,11.015436952660343,TRUE
pre_covid,8,8,z_bruto,90,14.762848836732884,13.613379529240028,TRUE
pre_covid,8,8,z_bs_purif,90,13.9012072020037,13.051027552833308,TRUE
pre_covid,8,8,z_jk_bs_purif,90,12.98636928858575,10.922485633937438,TRUE
